"","blog.txt","news.txt","twitter.txt"
"bake sale",1,1,5
"baked goods",3,2,2
"baker s",7,2,1
"baking soda",20,1,1
"ball back",2,1,1
"ball game",6,1,3
"ball rolling",4,1,1
"ball twice",1,1,1
"baltimore orioles",1,1,1
"baltimore ravens",1,1,2
"baltimore sun",3,2,2
"band class",1,1,1
"band members",3,1,2
"band s",16,3,4
"bank america",3,5,3
"bank can",1,1,1
"bank gaza",2,1,1
"bank s",4,3,1
"baptist church",3,5,5
"bar now",2,1,2
"barack obama",18,19,7
"barack obama s",1,6,1
"barbecue sauce",3,1,1
"barely enough",3,3,2
"barely see",3,1,1
"barnes &",4,6,5
"barnes & noble",3,5,5
"barry trotz",1,1,1
"baseball games",1,1,1
"baseball players",1,1,1
"baseball team",1,3,8
"based diet",1,1,1
"based popular",1,1,1
"based ve",3,1,1
"bases loaded",1,3,5
"basketball game",2,1,9
"basketball games",2,1,2
"basketball player",1,2,2
"basketball players",2,1,2
"basketball teams",1,2,1
"basketball tournament",2,1,2
"baton rouge",2,2,4
"batting average",2,2,2
"battle cancer",4,1,3
"bay area",6,8,17
"bayern munich",1,1,1
"beach club",1,1,2
"beach county",1,2,1
"bear weight",1,1,1
"beat em",1,1,2
"beaten death",1,1,1
"beautiful music",2,1,3
"beautiful time",3,1,2
"beauty pageant",3,1,1
"became friends",1,2,2
"became good",1,1,1
"became good friends",1,1,1
"became known",3,1,1
"become accustomed",2,1,1
"become law",3,2,1
"become like",5,1,2
"become one",12,2,3
"become president",1,1,1
"bed &",2,1,4
"bed & breakfast",2,1,1
"bed get",2,1,1
"bed rest",2,1,2
"bed without",1,1,1
"beer night",1,2,4
"beer s",10,1,3
"beer will",2,1,2
"beer wine",4,1,4
"beethoven s",3,2,1
"begin describe",2,1,2
"begin soon",3,1,1
"begin today",1,1,1
"beginning end",5,1,5
"beginning feel",2,1,2
"beginning just",1,1,1
"behavior will",1,1,1
"behind scenes",9,2,10
"behind wheel",2,1,1
"believe anything",5,1,6
"believe girl",2,1,1
"believe going",1,1,1
"believe great",3,1,2
"believe just",4,1,5
"believe ll",3,1,1
"believe lot",2,1,1
"believe m",3,1,14
"believe one",9,1,4
"believe s",20,1,18
"believe said",2,2,1
"believe say",1,1,2
"believe something",4,1,2
"believe ve",4,1,6
"believe will",10,3,11
"believes s",3,1,1
"bell pepper",3,1,2
