"","blog.txt","news.txt","twitter.txt"
"behind schedule",2,1,2
"behind wheel",4,1,3
"beings can",1,1,2
"believe anything",5,1,7
"believe girl",2,1,1
"believe great",4,1,6
"believe im",8,1,37
"believe ive",4,1,6
"believe just",13,1,14
"believe kind",2,1,1
"believe little",3,1,1
"believe lot",3,1,2
"believe one",18,1,6
"believe said",1,2,2
"believe say",4,1,4
"believe something",8,1,6
"believe us",2,1,1
"believe well",3,1,2
"believe will",25,3,19
"believed everything",1,1,1
"bell pepper",12,1,4
"bell peppers",7,1,3
"bells whistles",6,1,2
"ben bernanke",1,1,1
"bench press",3,1,2
"benefit doubt",5,1,3
"benefits will",2,1,1
"bernie sanders",1,1,1
"berry farm",3,1,2
"best actor",6,1,2
"best answer",4,1,4
"best best",3,1,13
"best bet",6,2,5
"best buy",4,2,15
"best can",44,3,14
"best can now",1,1,1
"best case",6,1,4
"best chance",4,3,4
"best deals",4,1,9
"best decision",6,1,6
"best defense",2,1,1
"best dog",2,1,1
"best everything",5,2,2
"best family",3,1,4
"best film",4,1,1
"best films",3,2,1
"best first",3,1,6
"best fit",2,1,1
"best friend",105,3,180
"best friends",43,2,86
"best game",2,1,9
"best get",9,1,6
"best gift",5,2,6
"best guess",2,1,3
"best interest",13,1,7
"best ive",3,1,12
"best job",4,2,5
"best just",3,1,3
"best known",20,3,2
"best line",4,1,7
"best match",1,1,2
"best part",57,2,64
"best parts",7,1,2
"best picture",7,1,9
"best play",3,1,4
"best player",2,2,11
"best players",1,2,8
"best price",1,1,2
"best record",1,1,3
"best results",6,1,2
"best sandwich",1,1,2
"best save",1,1,1
"best season",2,1,2
"best show",2,1,40
"best southern",1,1,1
"best thing",50,1,80
"best time",23,2,33
"best track",1,1,1
"best two",1,1,1
"best way",58,6,83
"best way keep",1,1,1
"best way learn",2,1,2
"best ways",3,1,8
"best world",1,1,2
"best year",3,1,7
"bet will",1,1,5
"better able",6,1,2
"better anyone",5,2,2
"better anyone else",2,1,1
"better average",2,1,2
"better care",4,1,2
"better control",1,1,1
"better days",5,1,3
"better done",1,1,1
"better ever",6,1,9
"better expected",5,1,3
"better faster",1,1,2
"better get",27,2,48
"better give",3,1,1
"better got",2,1,4
"better health",5,1,3
"better job",13,2,7
"better job keeping",1,1,1
"better kind",1,1,1
"better known",13,1,2
"better long",1,1,4
"better nothing",5,1,5
"better now",16,1,25
"better part",15,1,8
"better people",8,1,8
"better person",17,1,8
"better play",1,1,2
"better player",1,1,3
"better prepared",2,2,1
"better quality",6,1,3
"better quality life",1,1,1
"better really",1,1,4
"better served",2,1,1
"better situation",1,1,1
"better start",6,1,15
"better still",11,1,6
"better support",1,1,3
"better theres",1,1,1
"better time",15,1,15
"better tomorrow",1,1,9
"better tonight",1,1,5
"better understanding",9,1,3
"better way",32,1,37
"better working",2,1,1
